sektor,transaktionspost,kvartal,"Inkomster och utgifter samt kapitaltransaktioner (ENS2010), löpande priser, mnkr"
S11 Icke-finansiella bolag,P1.REC Produktion ,2024K1,..
S11 Icke-finansiella bolag,P1.REC Produktion ,2024K2,..
S11 Icke-finansiella bolag,P1.REC Produktion ,2024K3,..
S11 Icke-finansiella bolag,P1.REC Produktion ,2024K4,..
S11 Icke-finansiella bolag,D21X31.REC Produktskatter (kalkylerade) minus produktsubventioner ,2024K1,..
S11 Icke-finansiella bolag,D21X31.REC Produktskatter (kalkylerade) minus produktsubventioner ,2024K2,..
S11 Icke-finansiella bolag,D21X31.REC Produktskatter (kalkylerade) minus produktsubventioner ,2024K3,..
S11 Icke-finansiella bolag,D21X31.REC Produktskatter (kalkylerade) minus produktsubventioner ,2024K4,..
S11 Icke-finansiella bolag,D21est.REC Produktskatter (kalkylerade) ,2024K1,..
S11 Icke-finansiella bolag,D21est.REC Produktskatter (kalkylerade) ,2024K2,..
S11 Icke-finansiella bolag,D21est.REC Produktskatter (kalkylerade) ,2024K3,..
S11 Icke-finansiella bolag,D21est.REC Produktskatter (kalkylerade) ,2024K4,..
S11 Icke-finansiella bolag,"D31tot.PAY Produktsubventioner, användning",2024K1,..
S11 Icke-finansiella bolag,"D31tot.PAY Produktsubventioner, användning",2024K2,..
S11 Icke-finansiella bolag,"D31tot.PAY Produktsubventioner, användning",2024K3,..
S11 Icke-finansiella bolag,"D31tot.PAY Produktsubventioner, användning",2024K4,..
S11 Icke-finansiella bolag,P7.REC Import av varor och tjänster,2024K1,..
S11 Icke-finansiella bolag,P7.REC Import av varor och tjänster,2024K2,..
S11 Icke-finansiella bolag,P7.REC Import av varor och tjänster,2024K3,..
S11 Icke-finansiella bolag,P7.REC Import av varor och tjänster,2024K4,..
S11 Icke-finansiella bolag,P71.REC Import av varor,2024K1,..
S11 Icke-finansiella bolag,P71.REC Import av varor,2024K2,..
S11 Icke-finansiella bolag,P71.REC Import av varor,2024K3,..
S11 Icke-finansiella bolag,P71.REC Import av varor,2024K4,..
S11 Icke-finansiella bolag,P72.REC Import av tjänster,2024K1,..
S11 Icke-finansiella bolag,P72.REC Import av tjänster,2024K2,..
S11 Icke-finansiella bolag,P72.REC Import av tjänster,2024K3,..
S11 Icke-finansiella bolag,P72.REC Import av tjänster,2024K4,..
S11 Icke-finansiella bolag,P72F.REC Import av FISIM-tjänster,2024K1,..
S11 Icke-finansiella bolag,P72F.REC Import av FISIM-tjänster,2024K2,..
S11 Icke-finansiella bolag,P72F.REC Import av FISIM-tjänster,2024K3,..
