"användning","år","tabellinnehåll","BNP från användningssidan (ENS2010), försörjningsbalans"
"BNP till marknadspris","1980","Löpande priser, mnkr",593080
"BNP till marknadspris","1980","Fasta priser referensår 2020, mnkr",2251102
"BNP till marknadspris","1980","Prisförändring, procent",..
"BNP till marknadspris","1980","Volymförändring, procent",..
"BNP till marknadspris","1981","Löpande priser, mnkr",647792
"BNP till marknadspris","1981","Fasta priser referensår 2020, mnkr",2244961
"BNP till marknadspris","1981","Prisförändring, procent",9.5
"BNP till marknadspris","1981","Volymförändring, procent",-0.3
"BNP till marknadspris","1982","Löpande priser, mnkr",709382
"BNP till marknadspris","1982","Fasta priser referensår 2020, mnkr",2276349
"BNP till marknadspris","1982","Prisförändring, procent",8.0
"BNP till marknadspris","1982","Volymförändring, procent",1.4
"BNP till marknadspris","1983","Löpande priser, mnkr",794938
"BNP till marknadspris","1983","Fasta priser referensår 2020, mnkr",2320853
"BNP till marknadspris","1983","Prisförändring, procent",9.9
"BNP till marknadspris","1983","Volymförändring, procent",2.0
"BNP till marknadspris","1984","Löpande priser, mnkr",893171
"BNP till marknadspris","1984","Fasta priser referensår 2020, mnkr",2421414
"BNP till marknadspris","1984","Prisförändring, procent",7.7
"BNP till marknadspris","1984","Volymförändring, procent",4.3
"BNP till marknadspris","1985","Löpande priser, mnkr",971661
"BNP till marknadspris","1985","Fasta priser referensår 2020, mnkr",2477207
"BNP till marknadspris","1985","Prisförändring, procent",6.3
"BNP till marknadspris","1985","Volymförändring, procent",2.3
"BNP till marknadspris","1986","Löpande priser, mnkr",1063426
"BNP till marknadspris","1986","Fasta priser referensår 2020, mnkr",2554025
"BNP till marknadspris","1986","Prisförändring, procent",6.2
"BNP till marknadspris","1986","Volymförändring, procent",3.1
"BNP till marknadspris","1987","Löpande priser, mnkr",1152756
"BNP till marknadspris","1987","Fasta priser referensår 2020, mnkr",2641826
"BNP till marknadspris","1987","Prisförändring, procent",4.8
"BNP till marknadspris","1987","Volymförändring, procent",3.4
"BNP till marknadspris","1988","Löpande priser, mnkr",1261383
"BNP till marknadspris","1988","Fasta priser referensår 2020, mnkr",2709041
"BNP till marknadspris","1988","Prisförändring, procent",6.7
"BNP till marknadspris","1988","Volymförändring, procent",2.5
"BNP till marknadspris","1989","Löpande priser, mnkr",1396026
"BNP till marknadspris","1989","Fasta priser referensår 2020, mnkr",2778469
"BNP till marknadspris","1989","Prisförändring, procent",7.9
"BNP till marknadspris","1989","Volymförändring, procent",2.6
"BNP till marknadspris","1990","Löpande priser, mnkr",1534734
"BNP till marknadspris","1990","Fasta priser referensår 2020, mnkr",2791625
"BNP till marknadspris","1990","Prisförändring, procent",9.4
"BNP till marknadspris","1990","Volymförändring, procent",0.5
"BNP till marknadspris","1991","Löpande priser, mnkr",1643226
"BNP till marknadspris","1991","Fasta priser referensår 2020, mnkr",2760131
"BNP till marknadspris","1991","Prisförändring, procent",8.3
