region,typ av fastighet,ägarkategori,"år, oregelb",tabellinnehåll,"Allmän och förenklad fastighetstaxering. Taxeringsenheter, totalt taxerings-/basvärde och areal"
00 Riket,300 Övrig hyreshusenhet,fysisk person,2025,Taxeringsenheter,128
00 Riket,300 Övrig hyreshusenhet,fysisk person,2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,300 Övrig hyreshusenhet,fysisk person,2025,"Areal, kvkm",0.35
00 Riket,300 Övrig hyreshusenhet,stat,2025,Taxeringsenheter,13
00 Riket,300 Övrig hyreshusenhet,stat,2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,300 Övrig hyreshusenhet,stat,2025,"Areal, kvkm",0.50
00 Riket,300 Övrig hyreshusenhet,"kommun, region",2025,Taxeringsenheter,287
00 Riket,300 Övrig hyreshusenhet,"kommun, region",2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,300 Övrig hyreshusenhet,"kommun, region",2025,"Areal, kvkm",1.29
00 Riket,300 Övrig hyreshusenhet,Svenska kyrkan,2025,Taxeringsenheter,84
00 Riket,300 Övrig hyreshusenhet,Svenska kyrkan,2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,300 Övrig hyreshusenhet,Svenska kyrkan,2025,"Areal, kvkm",0.29
00 Riket,300 Övrig hyreshusenhet,allmännyttigt bostadsföretag,2025,Taxeringsenheter,103
00 Riket,300 Övrig hyreshusenhet,allmännyttigt bostadsföretag,2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,300 Övrig hyreshusenhet,allmännyttigt bostadsföretag,2025,"Areal, kvkm",0.42
00 Riket,300 Övrig hyreshusenhet,bostadsrättsförening,2025,Taxeringsenheter,52
00 Riket,300 Övrig hyreshusenhet,bostadsrättsförening,2025,"Totalt taxerings-/basvärde, miljoner kr",7
00 Riket,300 Övrig hyreshusenhet,bostadsrättsförening,2025,"Areal, kvkm",0.12
00 Riket,300 Övrig hyreshusenhet,ekonomisk förening utom BRF,2025,Taxeringsenheter,292
00 Riket,300 Övrig hyreshusenhet,ekonomisk förening utom BRF,2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,300 Övrig hyreshusenhet,ekonomisk förening utom BRF,2025,"Areal, kvkm",1.62
00 Riket,300 Övrig hyreshusenhet,bank och försäkringsbolag,2025,Taxeringsenheter,2
00 Riket,300 Övrig hyreshusenhet,bank och försäkringsbolag,2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,300 Övrig hyreshusenhet,bank och försäkringsbolag,2025,"Areal, kvkm",0.00
00 Riket,300 Övrig hyreshusenhet,övrigt svenskt AB,2025,Taxeringsenheter,137
00 Riket,300 Övrig hyreshusenhet,övrigt svenskt AB,2025,"Totalt taxerings-/basvärde, miljoner kr",5
00 Riket,300 Övrig hyreshusenhet,övrigt svenskt AB,2025,"Areal, kvkm",0.67
00 Riket,300 Övrig hyreshusenhet,stiftelser (ej familjestiftelser),2025,Taxeringsenheter,173
00 Riket,300 Övrig hyreshusenhet,stiftelser (ej familjestiftelser),2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,300 Övrig hyreshusenhet,stiftelser (ej familjestiftelser),2025,"Areal, kvkm",2.87
00 Riket,300 Övrig hyreshusenhet,dödsbo,2025,Taxeringsenheter,11
00 Riket,300 Övrig hyreshusenhet,dödsbo,2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,300 Övrig hyreshusenhet,dödsbo,2025,"Areal, kvkm",0.02
00 Riket,300 Övrig hyreshusenhet,övriga,2025,Taxeringsenheter,4521
00 Riket,300 Övrig hyreshusenhet,övriga,2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,300 Övrig hyreshusenhet,övriga,2025,"Areal, kvkm",33.75
00 Riket,"310 Hyreshusenhet, tomtmark",fysisk person,2025,Taxeringsenheter,666
00 Riket,"310 Hyreshusenhet, tomtmark",fysisk person,2025,"Totalt taxerings-/basvärde, miljoner kr",275
00 Riket,"310 Hyreshusenhet, tomtmark",fysisk person,2025,"Areal, kvkm",2.01
00 Riket,"310 Hyreshusenhet, tomtmark",stat,2025,Taxeringsenheter,72
00 Riket,"310 Hyreshusenhet, tomtmark",stat,2025,"Totalt taxerings-/basvärde, miljoner kr",89
00 Riket,"310 Hyreshusenhet, tomtmark",stat,2025,"Areal, kvkm",0.18
00 Riket,"310 Hyreshusenhet, tomtmark","kommun, region",2025,Taxeringsenheter,2716
00 Riket,"310 Hyreshusenhet, tomtmark","kommun, region",2025,"Totalt taxerings-/basvärde, miljoner kr",16168
00 Riket,"310 Hyreshusenhet, tomtmark","kommun, region",2025,"Areal, kvkm",13.80
00 Riket,"310 Hyreshusenhet, tomtmark",Svenska kyrkan,2025,Taxeringsenheter,15
00 Riket,"310 Hyreshusenhet, tomtmark",Svenska kyrkan,2025,"Totalt taxerings-/basvärde, miljoner kr",26
00 Riket,"310 Hyreshusenhet, tomtmark",Svenska kyrkan,2025,"Areal, kvkm",0.06
00 Riket,"310 Hyreshusenhet, tomtmark",allmännyttigt bostadsföretag,2025,Taxeringsenheter,424
00 Riket,"310 Hyreshusenhet, tomtmark",allmännyttigt bostadsföretag,2025,"Totalt taxerings-/basvärde, miljoner kr",2074
00 Riket,"310 Hyreshusenhet, tomtmark",allmännyttigt bostadsföretag,2025,"Areal, kvkm",1.72
00 Riket,"310 Hyreshusenhet, tomtmark",bostadsrättsförening,2025,Taxeringsenheter,194
00 Riket,"310 Hyreshusenhet, tomtmark",bostadsrättsförening,2025,"Totalt taxerings-/basvärde, miljoner kr",3257
00 Riket,"310 Hyreshusenhet, tomtmark",bostadsrättsförening,2025,"Areal, kvkm",0.46
00 Riket,"310 Hyreshusenhet, tomtmark",ekonomisk förening utom BRF,2025,Taxeringsenheter,131
00 Riket,"310 Hyreshusenhet, tomtmark",ekonomisk förening utom BRF,2025,"Totalt taxerings-/basvärde, miljoner kr",1536
00 Riket,"310 Hyreshusenhet, tomtmark",ekonomisk förening utom BRF,2025,"Areal, kvkm",0.56
00 Riket,"310 Hyreshusenhet, tomtmark",bank och försäkringsbolag,2025,Taxeringsenheter,7
00 Riket,"310 Hyreshusenhet, tomtmark",bank och försäkringsbolag,2025,"Totalt taxerings-/basvärde, miljoner kr",16
00 Riket,"310 Hyreshusenhet, tomtmark",bank och försäkringsbolag,2025,"Areal, kvkm",0.02
00 Riket,"310 Hyreshusenhet, tomtmark",övrigt svenskt AB,2025,Taxeringsenheter,2533
00 Riket,"310 Hyreshusenhet, tomtmark",övrigt svenskt AB,2025,"Totalt taxerings-/basvärde, miljoner kr",28951
00 Riket,"310 Hyreshusenhet, tomtmark",övrigt svenskt AB,2025,"Areal, kvkm",14.59
00 Riket,"310 Hyreshusenhet, tomtmark",stiftelser (ej familjestiftelser),2025,Taxeringsenheter,14
00 Riket,"310 Hyreshusenhet, tomtmark",stiftelser (ej familjestiftelser),2025,"Totalt taxerings-/basvärde, miljoner kr",136
00 Riket,"310 Hyreshusenhet, tomtmark",stiftelser (ej familjestiftelser),2025,"Areal, kvkm",0.06
00 Riket,"310 Hyreshusenhet, tomtmark",dödsbo,2025,Taxeringsenheter,21
00 Riket,"310 Hyreshusenhet, tomtmark",dödsbo,2025,"Totalt taxerings-/basvärde, miljoner kr",9
00 Riket,"310 Hyreshusenhet, tomtmark",dödsbo,2025,"Areal, kvkm",0.12
00 Riket,"310 Hyreshusenhet, tomtmark",övriga,2025,Taxeringsenheter,507
