region,typ av fastighet,ägarkategori,"år, oregelb",tabellinnehåll,"Allmän fastighetstaxering. Taxeringsenheter, totalt taxeringsvärde och areal"
00 Riket,"Småhusenhet, bebyggd",fysisk person,2024,Taxeringsenheter,2131927
00 Riket,"Småhusenhet, bebyggd",fysisk person,2024,"Totalt taxeringsvärde, miljoner kr",6136361
00 Riket,"Småhusenhet, bebyggd",fysisk person,2024,"Areal, kvkm",4111.87
00 Riket,"Småhusenhet, bebyggd",dödsbo,2024,Taxeringsenheter,20307
00 Riket,"Småhusenhet, bebyggd",dödsbo,2024,"Totalt taxeringsvärde, miljoner kr",48235
00 Riket,"Småhusenhet, bebyggd",dödsbo,2024,"Areal, kvkm",46.70
00 Riket,"Småhusenhet, bebyggd",stat,2024,Taxeringsenheter,288
00 Riket,"Småhusenhet, bebyggd",stat,2024,"Totalt taxeringsvärde, miljoner kr",949
00 Riket,"Småhusenhet, bebyggd",stat,2024,"Areal, kvkm",1.97
00 Riket,"Småhusenhet, bebyggd","kommun, landsting",2024,Taxeringsenheter,1427
00 Riket,"Småhusenhet, bebyggd","kommun, landsting",2024,"Totalt taxeringsvärde, miljoner kr",4367
00 Riket,"Småhusenhet, bebyggd","kommun, landsting",2024,"Areal, kvkm",4.42
00 Riket,"Småhusenhet, bebyggd",allmännyttigt bostadsföretag,2024,Taxeringsenheter,1844
00 Riket,"Småhusenhet, bebyggd",allmännyttigt bostadsföretag,2024,"Totalt taxeringsvärde, miljoner kr",7657
00 Riket,"Småhusenhet, bebyggd",allmännyttigt bostadsföretag,2024,"Areal, kvkm",3.59
00 Riket,"Småhusenhet, bebyggd",bostadsrättsförening,2024,Taxeringsenheter,7238
00 Riket,"Småhusenhet, bebyggd",bostadsrättsförening,2024,"Totalt taxeringsvärde, miljoner kr",62162
00 Riket,"Småhusenhet, bebyggd",bostadsrättsförening,2024,"Areal, kvkm",12.49
00 Riket,"Småhusenhet, bebyggd",ekonomisk förening utom BRF,2024,Taxeringsenheter,266
00 Riket,"Småhusenhet, bebyggd",ekonomisk förening utom BRF,2024,"Totalt taxeringsvärde, miljoner kr",844
00 Riket,"Småhusenhet, bebyggd",ekonomisk förening utom BRF,2024,"Areal, kvkm",0.68
00 Riket,"Småhusenhet, bebyggd",övrigt svenskt AB,2024,Taxeringsenheter,21126
00 Riket,"Småhusenhet, bebyggd",övrigt svenskt AB,2024,"Totalt taxeringsvärde, miljoner kr",67432
00 Riket,"Småhusenhet, bebyggd",övrigt svenskt AB,2024,"Areal, kvkm",48.40
00 Riket,"Småhusenhet, bebyggd",övriga juridiska personer,2024,Taxeringsenheter,625
00 Riket,"Småhusenhet, bebyggd",övriga juridiska personer,2024,"Totalt taxeringsvärde, miljoner kr",2079
00 Riket,"Småhusenhet, bebyggd",övriga juridiska personer,2024,"Areal, kvkm",2.43
00 Riket,"Småhusenhet, bebyggd",okänd,2024,Taxeringsenheter,35877
00 Riket,"Småhusenhet, bebyggd",okänd,2024,"Totalt taxeringsvärde, miljoner kr",50743
00 Riket,"Småhusenhet, bebyggd",okänd,2024,"Areal, kvkm",112.94
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",fysisk person,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",fysisk person,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",fysisk person,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",dödsbo,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",dödsbo,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",dödsbo,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",stat,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",stat,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",stat,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer","kommun, landsting",2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer","kommun, landsting",2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer","kommun, landsting",2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",allmännyttigt bostadsföretag,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",allmännyttigt bostadsföretag,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",allmännyttigt bostadsföretag,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",bostadsrättsförening,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",bostadsrättsförening,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",bostadsrättsförening,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",ekonomisk förening utom BRF,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, fritidsbostad för 1-2 familjer",ekonomisk förening utom BRF,2024,"Totalt taxeringsvärde, miljoner kr",0
