region,ägarkategori,"år, oregelb",tabellinnehåll,Allmän fastighetstaxering för lantbruk
00 Riket,fysisk person,2023,"Totalt taxeringsvärde, mnkr",1240910
00 Riket,fysisk person,2023,"Produktiv skogsmark utan avverkningsrestriktioner, mnkr",588422
00 Riket,fysisk person,2023,"Skogsimpedimentsvärde, mnkr",5361
00 Riket,fysisk person,2023,"Produktiv skogsmark med avverkningsrestriktioner, mnkr",716
00 Riket,fysisk person,2023,"Jordbruksvärde, mnkr",245636
00 Riket,fysisk person,2023,"Tomtmarksvärde, mnkr",106042
00 Riket,fysisk person,2023,"Byggnadsvärde, mnkr",238987
00 Riket,fysisk person,2023,"Ekonomibyggnadsvärde, mnkr",55746
00 Riket,dödsbo,2023,"Totalt taxeringsvärde, mnkr",18400
00 Riket,dödsbo,2023,"Produktiv skogsmark utan avverkningsrestriktioner, mnkr",10515
00 Riket,dödsbo,2023,"Skogsimpedimentsvärde, mnkr",115
00 Riket,dödsbo,2023,"Produktiv skogsmark med avverkningsrestriktioner, mnkr",15
00 Riket,dödsbo,2023,"Jordbruksvärde, mnkr",2790
00 Riket,dödsbo,2023,"Tomtmarksvärde, mnkr",1612
00 Riket,dödsbo,2023,"Byggnadsvärde, mnkr",2797
00 Riket,dödsbo,2023,"Ekonomibyggnadsvärde, mnkr",556
00 Riket,stat,2023,"Totalt taxeringsvärde, mnkr",22294
00 Riket,stat,2023,"Produktiv skogsmark utan avverkningsrestriktioner, mnkr",12482
00 Riket,stat,2023,"Skogsimpedimentsvärde, mnkr",2193
00 Riket,stat,2023,"Produktiv skogsmark med avverkningsrestriktioner, mnkr",2772
00 Riket,stat,2023,"Jordbruksvärde, mnkr",2383
00 Riket,stat,2023,"Tomtmarksvärde, mnkr",1575
00 Riket,stat,2023,"Byggnadsvärde, mnkr",727
00 Riket,stat,2023,"Ekonomibyggnadsvärde, mnkr",161
00 Riket,"kommun, landsting",2023,"Totalt taxeringsvärde, mnkr",31255
00 Riket,"kommun, landsting",2023,"Produktiv skogsmark utan avverkningsrestriktioner, mnkr",18434
00 Riket,"kommun, landsting",2023,"Skogsimpedimentsvärde, mnkr",149
00 Riket,"kommun, landsting",2023,"Produktiv skogsmark med avverkningsrestriktioner, mnkr",278
00 Riket,"kommun, landsting",2023,"Jordbruksvärde, mnkr",7747
00 Riket,"kommun, landsting",2023,"Tomtmarksvärde, mnkr",3170
00 Riket,"kommun, landsting",2023,"Byggnadsvärde, mnkr",1068
00 Riket,"kommun, landsting",2023,"Ekonomibyggnadsvärde, mnkr",409
00 Riket,Svenska kyrkan,2023,"Totalt taxeringsvärde, mnkr",30278
00 Riket,Svenska kyrkan,2023,"Produktiv skogsmark utan avverkningsrestriktioner, mnkr",22768
00 Riket,Svenska kyrkan,2023,"Skogsimpedimentsvärde, mnkr",150
00 Riket,Svenska kyrkan,2023,"Produktiv skogsmark med avverkningsrestriktioner, mnkr",31
00 Riket,Svenska kyrkan,2023,"Jordbruksvärde, mnkr",6170
00 Riket,Svenska kyrkan,2023,"Tomtmarksvärde, mnkr",413
00 Riket,Svenska kyrkan,2023,"Byggnadsvärde, mnkr",446
00 Riket,Svenska kyrkan,2023,"Ekonomibyggnadsvärde, mnkr",299
00 Riket,svenskt AB (exklusive allm.nyttiga),2023,"Totalt taxeringsvärde, mnkr",302261
00 Riket,svenskt AB (exklusive allm.nyttiga),2023,"Produktiv skogsmark utan avverkningsrestriktioner, mnkr",276958
00 Riket,svenskt AB (exklusive allm.nyttiga),2023,"Skogsimpedimentsvärde, mnkr",3135
00 Riket,svenskt AB (exklusive allm.nyttiga),2023,"Produktiv skogsmark med avverkningsrestriktioner, mnkr",624
00 Riket,svenskt AB (exklusive allm.nyttiga),2023,"Jordbruksvärde, mnkr",10173
00 Riket,svenskt AB (exklusive allm.nyttiga),2023,"Tomtmarksvärde, mnkr",4177
00 Riket,svenskt AB (exklusive allm.nyttiga),2023,"Byggnadsvärde, mnkr",4670
00 Riket,svenskt AB (exklusive allm.nyttiga),2023,"Ekonomibyggnadsvärde, mnkr",2525
00 Riket,övriga juridiska personer,2023,"Totalt taxeringsvärde, mnkr",52279
00 Riket,övriga juridiska personer,2023,"Produktiv skogsmark utan avverkningsrestriktioner, mnkr",38557
00 Riket,övriga juridiska personer,2023,"Skogsimpedimentsvärde, mnkr",566
00 Riket,övriga juridiska personer,2023,"Produktiv skogsmark med avverkningsrestriktioner, mnkr",998
00 Riket,övriga juridiska personer,2023,"Jordbruksvärde, mnkr",4728
00 Riket,övriga juridiska personer,2023,"Tomtmarksvärde, mnkr",3733
00 Riket,övriga juridiska personer,2023,"Byggnadsvärde, mnkr",3006
00 Riket,övriga juridiska personer,2023,"Ekonomibyggnadsvärde, mnkr",692
00 Riket,okänd,2023,"Totalt taxeringsvärde, mnkr",4
00 Riket,okänd,2023,"Produktiv skogsmark utan avverkningsrestriktioner, mnkr",4
00 Riket,okänd,2023,"Skogsimpedimentsvärde, mnkr",0
00 Riket,okänd,2023,"Produktiv skogsmark med avverkningsrestriktioner, mnkr",0
00 Riket,okänd,2023,"Jordbruksvärde, mnkr",0
00 Riket,okänd,2023,"Tomtmarksvärde, mnkr",0
00 Riket,okänd,2023,"Byggnadsvärde, mnkr",0
00 Riket,okänd,2023,"Ekonomibyggnadsvärde, mnkr",0
