näringsgren SNI 2007,tillgångsslag,år,tabellinnehåll,"Stock av fast realkapital, netto 1  januari respektive år (ENS2010)"
"0002 hela ekonomin, totalt",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",21584505
0035 näringslivet totalt,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",16789369
A01-F43 varuproducenter,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",4521060
"A01-A03 jordbruk, skogsbruk och fiske",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",661733
A01 jordbruksföretag och serviceföretag till jordbruk,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",401293
A02 skogsbruksföretag,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",257284
A03 fiskare och vattenbrukare ,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",3156
"B05-C33 gruvor, mineralutvinnings- och tillverkningsindustri",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",1842659
B05-B09 utvinning av mineral,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",104837
C10-C33 tillverkningsindustrin,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",1737822
"C10-C12 livsmedel, drycker och tobak",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",106453
"C13-C15 tillverkning av textilier, kläder och läderprodukter",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",10626
"C16 industri för trä och varor av trä, kork och rotting o.d. utom möbler",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",76312
"C16-C18 trävaru-, massa-, pappers- och grafisk industri",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",263170
"C17 massa-, pappers- och pappersvaruindustri",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",171233
"C17-C18 massa-, pappers- och grafisk industri",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",186858
C18 grafisk och annan reproduktionsindustri,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",15625
C19 industri för stenkolsprodukter och raffinerade petroleumprodukter ,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",32529
"C20-C21 tillverkning av kemikalier och kemiska produkter, farmaceutiska basprodukter och läkemedel",1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",250082
C22 gummi- och plastvaruindustri,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",34410
C22-C23 gummi- och plastvaruindustri; och andra icke metalliska mineraliska produkter,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",71433
C23 industri för andra icke-metalliska mineraliska produkter,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",37023
C24 stål- och metallverk,1 Samtliga fasta tillgångar,2024,"Löpande priser, mnkr",98002
